Name,Score,Genres,Type,Episodes,Duration,Popularity,Members,summary,embedding,weighted_score,English name,Name_cleaned,English_name_cleaned
Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5,30 min. per ep.,2360,46428,"Genre: Comedy, Magic, Romance, Seinen, Supernatural and the synopsis is hen college student Keiichi Morisato dials the wrong number while ordering for some food at his dormitory, he accidentally gets connected to the Goddess Hotline and a beautiful goddess named Belldandy appears out of a mirror in front of him. After getting kicked out of the dorm, Keiichi and Belldandy move to an old shrine and soon afterwards, Belldandy's sisters Urd and Skuld move in.","[[ 0.00825675 -0.02367115 -0.01426166 ... -0.01459676 -0.01469059
  -0.03669966]]",23217.65895954989,Oh! My Goddess,aa megamisama,oh my goddess
Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24,24 min. per ep.,1083,135747,"Genre: Comedy, Supernatural, Magic, Romance, Seinen and the synopsis is In a world where humans can have their wish granted via the Goddess Help Hotline, a human, Keiichi Morisato, summons the Goddess Belldandy by accident and jokes that she should stay with him forever. Unfortunately for him, his ""wish"" is granted. Suddenly, Keiichi is now living with this gorgeous woman all alone, causing him to be kicked out of the all-male dormitory he was staying in. But soon, after they find lodging in a Buddhist temple, Keiichi and Belldandy's relationship begins to blossom. Although they are both awkward and rather uncomfortable with one another at first, what awaits these two strangers could turn out to be an unexpected romance.","[[ 0.00805666 -0.0261138  -0.00583143 ... -0.0116105  -0.01328597
  -0.03809081]]",67877.17264075583,Ah! My Goddess,aa megamisama tv,ah my goddess
Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",OVA,3,30 min. per ep.,2419,43960,"Genre: Action, Drama, Romance, Shoujo, Supernatural and the synopsis is Setsuna Mudo is a 16-year-old high school student just trying to get by without running afoul of his bullying seniors. It doesn't help that he's in love with his younger sister, Sara, who only sees him once a month. But there's more to his life than just keeping his head down. Setsuna is ambushed by mysterious beings, angels, and demons, all professing to know his true destiny. The angels say he is the reincarnation of their leader Alexiel, while the demons claim he led them to war against God himself. As Setsuna struggles with his identity in such strange times, the eternal conflict between Heaven and Hell threatens to reignite. Will he be prepared when it does?","[[ 0.00737279 -0.02725537 -0.02108032 ... -0.0114917   0.0005394
  -0.02316972]]",21983.15550009202,Angel Sanctuary,tenshi kinryouku,angel sanctuary
Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26,24 min. per ep.,2232,51022,"Genre: Sci-Fi, Comedy, Sports, Drama, Shounen and the synopsis is 12-year-old Misaki Suzuhara has just gotten involved in Angelic Layer, a battling game using electronic dolls called angels. Even as a newbie, Misaki shows advanced skills as she meets new friends and enters Angelic Layer tournaments to fight the greatest Angelic Layer champions of the nation.","[[ 0.01356186 -0.01531219 -0.01951299 ... -0.00271302 -0.01062518
  -0.01885176]]",25514.628997607833,Battle Doll Angelic Layer,kidou tenshi angelic layer,battle doll angelic layer
Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24,23 min. per ep.,1465,94793,"Genre: Harem, Slice of Life, Comedy, Drama, Romance and the synopsis is Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kauru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place.","[[ 0.01933466 -0.01860178 -0.01816205 ... -0.01119305 -0.00549326
  -0.01778895]]",47400.068772083614,Ai Yori Aoshi,ai yori aoshi,ai yori aoshi
Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,1,1 hr. 45 min.,1901,65139,"Genre: Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen and the synopsis is Growing out of the chaos of a global war, the city of Utopia is populated by humans and bioroids (artificial humans). On the surface, everything is harmonious, but tensions lurk. Into this seemingly perfect society comes a survivor of the wars, Deunan Knute, who carries a legacy that will turn out to be of critical importance to the future of humanity. (Source: ANN)","[[ 0.00897302 -0.03067631 -0.02490938 ... -0.00453692 -0.00834121
  -0.01217911]]",32573.049128934574,Unknown,appleseed movie,unknown
Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13,24 min. per ep.,4073,15779,"Genre: Adventure, Fantasy, Sci-Fi, Shounen and the synopsis is ars has been colonized and is a world where children have been replaced by robot servants known as ""dolls."" Layla is a skilled fighter with a tragic past who travels about the world. Her companions are Nei, a strange and unique doll with some unknown ties to Layla, and Speedy, who is a doll breeder. The founders of Mars see the trio as a threat to their world, and each time they attack Layla and Nei a bit more of their mysterious past and future is revealed.","[[ 0.00561872 -0.01056615 -0.04527199 ...  0.00475275 -0.02099804
  -0.02494524]]",7892.455654210806,Unknown,avenger,unknown
Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,25 min. per ep.,570,255668,"Genre: Comedy, Drama, Music, Shounen, Slice of Life and the synopsis is Fourteen-year-old Yukio ""Koyuki"" Tanaka is a dispirited young boy with no goals in life. However, this all changes when Koyuki saves a strange-looking dog named Beck from being harassed by a group of local kids. The dog's owner, 16-year-old Ryuusuke ""Ray"" Minami, is an emerging guitarist and the former member of a popular rock band. After Koyuki meets Ray again in a diner, the older boy leads him to his former band's meeting place and dazzles Koyuki with his amazing guitar skills. Slowly becoming interested in the glamour of western rock culture, Koyuki decides to start playing the guitar while helping Ray achieve his dream of leading the ultimate rock band. Together with Ray's younger sister Maho and a few other members, the two boys launch their career into the world of rock by forming a band called BECK. Beck follows the group's struggles and successes as they spread their fame across Japan.","[[ 0.00047651 -0.03204727  0.00194642 ...  0.00030145 -0.01523538
  -0.0172771 ]]",127838.1444909979,Beck:Mongolian Chop Squad,beck,beckmongolian chop squad
Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26,23 min. per ep.,1886,65360,"Genre: Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama and the synopsis is Blue Gender takes place in the not too distant future in a world where things have gone terribly wrong for humanity. Humans have been replaced at the top of the food chain by the Blue, a race of bug-like aliens that have colonized Earth and pushed humans aside. A space station, Second Earth, has been constructed as a safe haven for humans, with the hope of one day reclaiming the Earth once more. Yuji Kaido was cryogenically frozen, having been suffering from a disease known as B-Cells. Once awakened, he joins a team of soldiers that have come to Earth to extract him. Unfortunately, nothing goes according to plan as they make their way back to Second Earth. Yuji will have to deal with the horrors of fighting a bloody war as he and the fighters from Second Earth look to survive. Will they be able to win back Earth without losing their humanity?","[[ 0.0047354  -0.0379099  -0.02607806 ... -0.01602033 -0.01508659
  -0.00466537]]",32683.524218162802,Blue Gender,blue gender,blue gender
Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26,24 min. per ep.,332,402646,"Genre: Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen and the synopsis is hen computers start to look like humans, can love remain the same? Hideki Motosuwa is a young country boy who is studying hard to get into college. Coming from a poor background, he can barely afford the expenses, let alone the newest fad: Persocoms, personal computers that look exactly like human beings. One evening while walking home, he finds an abandoned Persocom. After taking her home and managing to activate her, she seems to be defective, as she can only say one word, ""Chii,"" which eventually becomes her name. Unlike other Persocoms, however, Chii cannot download information onto her hard drive, so Hideki decides to teach her about the world the old-fashioned way, while studying for his college entrance exams at the same time. Along with his friends, Hideki tries to unravel the mystery of Chii, who may be a ""Chobit,"" an urban legend about special units that have real human emotions and thoughts, and love toward their owner. But can romance flourish between a Persocom and a human?","[[ 0.01462712 -0.01839067 -0.00834787 ...  0.00217038 -0.01710946
  -0.03066891]]",201326.70656025485,Chobits,chobits,chobits
